"nome","resumo","coordenador"
"PESQUISAS PROJETOS E MONTAGENS DE SISTEMAS DE CONVERSORES ESTÁTICOS","Em breve este conteúdo estará disponível.","Aluisio Alves De Melo Bento "
"APOIO NO ENSINO DE ANÁLISE DE SISTEMAS DE POTÊNCIA I","Em breve este conteúdo estará disponível.","Andre Guilherme Peixoto Alves "
"RECURSOS EDUCACIONAIS ABERTOS PARA A ENGENHARIA ELÉTRICA","Em breve este conteúdo estará disponível.","Antonio Guilherme Garcia Lima "
"USO DA METODOLOGIA MAKER DE EXPERIMENTAÇÃO DE FENÔMENOS FÍSICOS APLICADA AO ENSINO DE ENGENHARIA","Em breve este conteúdo estará disponível.","Carlos Eduardo Dos Santos Leal "
"PROTOTIPAGEM DE CONVERSORES ELETRÔNICOS DE POTÊNCIA","Em breve este conteúdo estará disponível.","Cleiton Magalhães Freitas "
"SUNFLOWER - SEGUIDOR SOLAR UTILIZANDO ARDUINO","Em breve este conteúdo estará disponível.","Fernando Jorge Monteiro Dias "
"APOIO AO ENSINO/APRENDIZAGEM DE CIRCUITOS ELÉTRICOS I","Em breve este conteúdo estará disponível.","Harold Dias De Mello Junior "
"APOIO AO ENSINO/APRENDIZAGEM DE CIRCUITOS ELÉTRICOS II E IV","Em breve este conteúdo estará disponível.","Harold Dias De Mello Junior "
"DESENVOLVIMENTO DE PROTÓTIPOS DE SISTEMAS DE AUTOMAÇÃO PARA O AUXÍLIO DO ENSINO NA GRADUAÇÃO","Em breve este conteúdo estará disponível.","Joel Sanchez Dominguez "
"CAPACITAÇÃO TÉCNICA PARA AUTOMAÇÃO INDUSTRIAL","Em breve este conteúdo estará disponível.","Marcelo Musci Zaib Antonio "
"MÁQUINAS ELÉTRICAS I","Em breve este conteúdo estará disponível.","Otto Wanner Ganvini Asencios "
"IMPLEMENTAÇÃO DE CONTEÚDO PROFISSIONAL DIDÁTICO ACESSÍVEL AOS ESTUDANTES DE ENGENHARIA E ARQUITETURA","Em breve este conteúdo estará disponível.","Paulo Eduardo Darski Rocha "
"APOIO AO ENSINO/APRENDIZAGEM DE CIRCUITOS ELÉTRICOS III","Em breve este conteúdo estará disponível.","Sergio Leon Escalante Cardenas "
"MODELAGEM SIMULAÇÃO E PROTOTIPAGEM EM ROBÓTICA E ENERGIA COMO APOIO AO ENSINO E À EXTENSÃO","Em breve este conteúdo estará disponível.","Téo Cerqueira Revoredo "
